id,trigger,conditions,script,text,options,notes
#RULESET_NAME HSI,,,,,,
,,,,,,
# greetings,,,,,,
greetingHSIFriendly,OpenCommLink,"$faction.id == HSI
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""$personRank greets you, friend."" 
OR
""I didn't expect to meet you here, friend.""",,
greetingHSIHostileWeaker,OpenCommLink,"$faction.id == HSI
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""Continued hostility to Halo Dynamics won't end well, Captain. I hope you've thought this through."" $personRank cut the comms, and the fleet seems intent to disengage.
OR
""In the name of Halo Dynamics, I demand that you cease hostilities, Captain."" You notice $heOrShe's fleet attempting to retreat.",cutCommLink:Cut the comm link,
greetingHSIHostileWeakerDefiant,OpenCommLink,"$faction.id == HSI
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""The support fleet is on its way. Now, we will tie you down — at all costs."" $personRank cut the comms, and weapons begin to charge.
OR
""We will not falter."" $personRank cut the comms link. You detect the other side entering combat mode.",cutCommLink:Cut the comm link,
greetingHSIHostileStronger,OpenCommLink,"$faction.id == HSI
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""We will crush all entities hostile to the Council.""
OR
""The Council has authorized the use of deadly force. Please surrender immediately.""",cutCommLink:Cut the comm link,
greetingHSINeutral,OpenCommLink,"$faction.id == HSI
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Greetings, starfarer. If there's nothing else, I have other tasks.""
",,
relLevelNeutralHSI,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == HSI",,Aura Dynamics doesn't feel like you have anything worth their bother.,,
relLevelFavorableHSI,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == HSI",,The ship and weapons industries offer you some common designs.,,
relLevelWelcomingHSI,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == HSI",,"Your name appears on the Council's report, and the ship industry and weapons industries will sell you some of the mildly restricted arms.",,
relLevelFriendlyHSI,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == HSI",,"The Council has granted you temporary employee status, and you enjoy most of the benefits of Halo Dynamics employees.",,
relLevelCooperativeHSI,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == HSI",,You have the right to meet with the Director with a prior appointment. This means that the Council has accepted you — in the Persean Sector.,,
relLevelSuspiciousHSI,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == HSI",,A slightly irritating mercenary is not enough to cause for Halo Dynamics to take action.,,
relLevelInhospitableHSI,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == HSI",,The ship and weapons industries refuse to trade with you.,,
relLevelHostileHSI,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == HSI",,The Council has authorized the use of lethal force against you. Operating in Halo Dynamics territory will be difficult.,,
relLevelVengefulHSI,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == HSI",,The Council has instructed the Department of War to put you on a wanted list. A special fleet also appears to be assigned to hunt you down.,,
flavorTextMarketHSINormal,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == HSI
$market.id != HSI_SpaceBridge_Market","AddText ""The widespread leisure facilities, unknown energy networks and luxurious interior decor gives this place the ambiance of a vacation resort, but the scurrying starship cadets and captains shatter this facade."" marketFlavorTextColor
AddText ""Heavily armed guards check your identification before escorting you to the market hall."" marketFlavorTextColor",,,
flavorTextMarketHSISpaceBridge,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == HSI
$market.id == HSI_SpaceBridge_Market","AddText ""The facility is almost entirely populated by scientists and guards, with the occasional visitor hoping to find good collaborators."" marketFlavorTextColor
",,,
convCommissionerGreetingRefuse,PickGreeting,"HSIPersonIdentityCheck PersonIsTheCommissioner
!$global.HSITC0Finished
$isPerson","$contact_printedFirstReturnGreeting = true 0
ShowDefaultVisual","It is not easy to make an appointment with the Director, and the secretary politely declines your request.",cutCommLink:Leave,
convCommissionerGreetingAccept,PickGreeting,"HSIPersonIdentityCheck PersonIsTheCommissioner
$global.HSITC0Finished
!$faction.HSIisTraitor
$isPerson","$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireAll PopulateOptions","""Greetings, Captain $playerName.""",,
convCommissionerGreetingTraitor,PickGreeting,"HSIPersonIdentityCheck PersonIsTheCommissioner
$global.HSITC0Finished
$faction.HSIisTraitor
!$faction.HSIforgiven
$isPerson","$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireBest HSITraitor","""Greetings, Captain $playerName. From the mess you've made, I thought you would not return.""",cutCommLink:Leave,
convCommissionerGreetingTraitor2,PickGreeting,"HSIPersonIdentityCheck PersonIsTheCommissioner
$global.HSITC0Finished
$faction.HSIisTraitor
$faction.HSIforgiven
$isPerson","$contact_printedFirstReturnGreeting = true 0
ShowDefaultVisual",No one will forgive betrayal twice. You'd better leave on your own before the patrols come.,cutCommLink:Leave,
barDesc_HSI,BarPrintDesc,$faction.id == HSI,ShowImageVisual space_bar,"Unknown energy networks weave various patterns on the walls of the bar, clearly for decoration. Air fresheners suppress variety of strange odors, and the bar is designed to be low-profile but luxurious. There are both people who look like executives, as well as spacemen and officers who speak in hushed voices.",,
,,,,,,
#END greetings,,,,,,
#Traitor,,,,,,
HSITraitor0,HSITraitor,,,,"HSITraitorTryToDeal1:""I did not want things to get this ugly either.""",
