id,trigger,conditions,script,text,options,notes
#RULESET_NAME HSI,,,,,,
,,,,,,
# greetings,,,,,,
greetingHSIFriendly,OpenCommLink,"$faction.id == HSI
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions",""" $personRank 向你致意，朋友。"" 
OR
"" 没想到能在这里遇见你，朋友。""",,
greetingHSIHostileWeaker,OpenCommLink,"$faction.id == HSI
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""与光环动力继续敌对的下场不会太好，希望你考虑清楚了，舰长。"" $personRank 切断了通讯链接，舰队似乎打算脱离接触。
OR
""我以光环动力的名义要求你停止敌对行为，舰长。"" 你注意到$heOrShe的舰队正在做出撤退机动。",cutCommLink:切断通讯,
greetingHSIHostileWeakerDefiant,OpenCommLink,"$faction.id == HSI
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""支援舰队已经在路上了，现在，我们将拖住你——以一切代价。"" $personRank 切断了通讯链接。武器开始充能。
OR
""我们不会动摇。""$personRank 切断了通讯链接。你侦测到对方进入了战斗状态。",cutCommLink:切断通讯,
greetingHSIHostileStronger,OpenCommLink,"$faction.id == HSI
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""我们将粉碎一切与理事会敌对的实体。""
OR
""理事会已授权使用致命武力。请立即投降。""",cutCommLink:切断通讯,
greetingHSINeutral,OpenCommLink,"$faction.id == HSI
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""你好，旅人。如果没有什么事的话，我还有其他任务。""
",,
relLevelNeutralHSI,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == HSI",,光环动力并不觉得你有什么东西值得他们费心。,,
relLevelFavorableHSI,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == HSI",,舰船工业和武器工业向你提供一些常规设计。,,
relLevelWelcomingHSI,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == HSI",,你的名字出现在理事会的报告上，舰船工业和武器工业向你出售部分轻度限制级的军火。,,
relLevelFriendlyHSI,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == HSI",,理事会授予你临时雇员身份，你享受大部分光环动力雇员的待遇。,,
relLevelCooperativeHSI,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == HSI",,你拥有在提前预约的情况下和理事长会面的权利。这意味着理事会接纳了你——在英仙座。,,
relLevelSuspiciousHSI,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == HSI",,一个稍有摩擦的雇佣兵，不足以让光环动力做出什么反应。,,
relLevelInhospitableHSI,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == HSI",,舰船工业和武器工业拒绝与你交易。,,
relLevelHostileHSI,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == HSI",,理事会授权对你使用致命性武力。光环动力的领域会让你寸步难行。,,
relLevelVengefulHSI,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == HSI",,理事会授意战争部将你列入追捕名单。一支特殊舰队似乎也在搜寻你。,,
flavorTextMarketHSINormal,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == HSI
$market.id != HSI_SpaceBridge_Market","AddText ""随处可见的休闲设施，不明的能量网络和奢华的内饰把此地装饰得像一座度假圣地，但其中行色匆匆的星舰学员和舰长打破了这种伪装。"" marketFlavorTextColor
AddText ""全副武装的警卫比对了你的身份证明，随后将你带到了市场大厅。"" marketFlavorTextColor",,,
flavorTextMarketHSISpaceBridge,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == HSI
$market.id == HSI_SpaceBridge_Market","AddText ""这座设施上几乎只有科学家和警卫。偶尔也有一些期望能找到优秀合作者的人物到访。"" marketFlavorTextColor
",,,
convCommissionerGreetingRefuse,PickGreeting,"HSIPersonIdentityCheck PersonIsTheCommissioner
!$global.HSITC0Finished
$isPerson","$contact_printedFirstReturnGreeting = true 0
ShowDefaultVisual",理事长并不是那么好预约的，秘书委婉地拒绝了你的请求。,cutCommLink:离开,
convCommissionerGreetingAccept,PickGreeting,"HSIPersonIdentityCheck PersonIsTheCommissioner
$global.HSITC0Finished
!$faction.HSIisTraitor
$isPerson","$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireAll PopulateOptions","""贵安， $playerName 阁下。""",,
convCommissionerGreetingTraitor,PickGreeting,"HSIPersonIdentityCheck PersonIsTheCommissioner
$global.HSITC0Finished
$faction.HSIisTraitor
!$faction.HSIforgiven
$isPerson","$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireBest HSITraitor","""贵安， $playerName 阁下。你好像闹得不太好看，我还以为你不会再来了。""",cutCommLink:离开,
convCommissionerGreetingTraitor2,PickGreeting,"HSIPersonIdentityCheck PersonIsTheCommissioner
$global.HSITC0Finished
$faction.HSIisTraitor
$faction.HSIforgiven
$isPerson","$contact_printedFirstReturnGreeting = true 0
ShowDefaultVisual",没有人会原谅一个背叛过两次的人。你最好在招来巡逻队之前自行离开。,cutCommLink:离开,
barDesc_HSI,BarPrintDesc,$faction.id == HSI,ShowImageVisual space_bar,不明的能量网络在酒吧的墙壁上编织出各种图形，显然这些只是装饰用途。空气清新剂压制了各种奇怪的气味，酒座设计得低调而奢侈，其中既有看起来是高管的人物，也有压低嗓门的太空人和军官。,,
,,,,,,
#END greetings,,,,,,
#Traitor,,,,,,
