name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
#unique bulitin#,,,,,,,,,,,,,,,,,,,
轻型炮塔套件,HSI_LightTurret,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,TRUE,0,0,0,0,data.hullmods.HSILightTurret,,,,
重型炮塔套件,HSI_HeavyTurret,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,TRUE,0,0,0,0,data.hullmods.HSIHeavyTurret,,,,
涡轮聚焦,HSI_TurboFocus,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSITurboFocus,涡轮炮射程增加 %s 。征服者涡轮炮的射程与舰船上射程最长的非导弹武器保持一致，此效果无法超过1000。,,,graphics/icons/hullmods/HSI_TurboFocus.png
协调机动,HSI_CoordManuvers,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSICoordManuvers,战机在出动时进行弹射。返航和集结时，战机最大航速提高 %s。每有一个联队，战机的机动性提高 %s。,,,graphics/icons/hullmods/HSI_CoordManuvers.png
柔性机库,HSI_FlexibleHangar,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIFlexibleHangarN,机库全满时，具有额外的整备速度和后备甲板储备。,,,graphics/icons/hullmods/HSI_FlexibleHangar.png
雷击设计,HSI_TorpedoDesign,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSITorpedoDesign,导弹武器弹药上限降低 %s ，依据能量武器射程加成的一半提高导弹飞行速度和加速度。导弹武器装配点降低 %s 。,,,graphics/icons/hullmods/HSI_TorpedoDesign.png
时间锚点,HSI_TimeAnchor,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSITimeAnchor,峰值时间不受时流影响。峰值时间结束后的战备消耗速度降低 %s 。,,,graphics/icons/hullmods/HSI_TimeAnchor.png
袖珍主力舰,HSI_PocketCapital,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIPocketCapital,安装在中型槽位的非导弹武器提高 %s 伤害。非导弹武器的弹药装填速度提高 %s 。,,,graphics/icons/hullmods/HSI_PocketCapital.png
无畏机器,HSI_Apocalypse,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIApocalypse,大幅缩短战斗中武器和引擎的修理时间。最近的敌人位于800su外时提高速度。,,,graphics/icons/hullmods/HSI_DGS.png
逐流系统,HSI_Drift,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIDrift,"处于天象的电弧云附近时，最高提高 %s 航速, %s 机动性, %s 能量武器开火速度并降低 %s 能量武器开火幅能。",,,graphics/icons/hullmods/HSI_Drift.png
魔弹,HSI_Freischutz,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIFreischutz,武器用于选择魔弹类型，所有武器共用冷却时间和弹药，弹药只能通过相位恢复。每第7发魔弹会随机指定目标。,,,
侧卫战术,HSI_FlankerStrategy,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIFlankerStrategy,命令侧卫与目标保持一定距离。,,,graphics/icons/hullmods/HSI_DGS.png
灵,HSI_ElegySystem,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIElegySystem,"""听，它们在唱歌。""",,,graphics/icons/hullmods/HSI_ElegySystem.png
备件生产,HSI_SparePartProduction,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.LogisticsMod.HSISparePartProduction,"舰队进入战斗消耗的战备值减少 %s ，最多累计至 %s 。
舰队""战斗自动护理系统""可用数量 %s 。",,,graphics/icons/hullmods/HSI_SparePartProduction.png
巨兽猎手,HSI_LeviathanHunter,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSILeviathanHunter,"战术系统完全启动时，射程提高到 %s 。
对主力舰和巡洋舰的伤害提高 %s 。
安装 %s 时，战术系统无法启动，舰船进入机动模式，获得 %s 的最大航速和 %s 的机动性加成。",,,graphics/icons/hullmods/HSI_LeviathanHunter.png
轻型雷击设计,HSI_LightTorpDesign,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSILightTorpDesign,"制导导弹武器的装配点提高 %s 。可装填导弹无法再装填，获得相当于 %s 秒的备弹。

与扩展发射架不兼容。
",,,graphics/icons/hullmods/HSI_TorpedoDesign.png
弩手,HSI_Arbaletrier,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIArbaletrier,大幅缩短战斗中武器和引擎的修理时间。,,,
熵反馈幅能网,HSI_EntrophyFeedbackSystem,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIEntrophyFeedbackSystem,,,,graphics/icons/hullmods/HSI_EntrophyFeedback.png
阵列火控,HSI_MatrixTargeting,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIMatrixTargeting,"附近大约 %s 范围内的友军获得最多 %s 射程加成。自身获得 %s 。
具有较为均衡的射程。",,,graphics/icons/hullmods/HSI_MatrixTargeting.png
增强传感器,HSI_EnhancedSensor,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIEnhancedSensor,视野扩大。,,,
深渊潜伏者,HSI_DeepTorpDesign,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIDeepTorpDesign,"导弹的最大速度和加速度提高等于能量武器射程增益的数值，射程提高到能量武器射程增益的 %s 。

制导导弹武器的装配点提高 %s 。
",,,graphics/icons/hullmods/HSI_TorpedoDesign.png
梦幻泡影,HSI_Mirage,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.ShieldMod.HSIMirage,"每承受减伤前的 %s 伤害，获得 %s 无敌和 %s 额外屏障。

每损失 %s 结构值，获得 %s 上述效果。

屏障容量变为 %s 。

",,,graphics/icons/hullmods/HSI_Mirage.png
白日核心,HSI_DayTime_Core,2,,光环动力舰船工业,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIDayTimeCore,大幅提高对战机和导弹的伤害。大幅提高维修速度和过载恢复速度。内嵌有未知来源的智能。,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#universal builtin#,,,,,,,,,,,,,,,,,,,
光环系统,HSI_Halo,2,0,光环动力舰船工业,"special, no_drop, no_drop_salvage",,,,TRUE,,0,0,0,0,data.hullmods.HSIHaloV2,结合了大量新型技术的通用式全船框架。非原生的幅能改造效果降低 %s 。,,,graphics/icons/hullmods/HSI_Halo.png
E.G.O,HSI_EGO,2,0,光环动力L部门,"special, no_drop, no_drop_salvage",,,,TRUE,,0,0,0,0,data.hullmods.HSIEGO,[数据删除],,,graphics/icons/hullmods/HSI_Halo.png
纠缠系统,HSI_Entanglement,2,0,光环动力舰船工业,"special, no_drop, no_drop_salvage",,,,TRUE,,0,0,0,0,data.hullmods.HSIEntanglement,舰船的模块在战斗中作为独立舰船入场，并与本体有某种联系。模块不占用部署点，本体摧毁或撤退后模块会继续战斗。,,,graphics/icons/hullmods/HSI_Halo.png
轨迹,HSI_ContrailMod,2,0,光环动力舰船工业,"special, no_drop, no_drop_salvage",,,,TRUE,TRUE,0,0,0,0,data.hullmods.HSIContrailMod,标记此船需要轨迹。无其他用途。,,,graphics/icons/hullmods/HSI_Halo.png
无人单元地面支援,HSI_DGS,2,0,光环动力舰船工业,"special, no_drop, no_drop_salvage",,,,TRUE,,0,0,0,0,data.hullmods.HSIDroneGroundSupport,本舰的无人单元会加入地面作战，每队增加 %s 地面战强度，无法超过舰队中的陆战队员总数。 ,,,graphics/icons/hullmods/HSI_DGS.png
链路屏障架构,HSI_ShieldLinkFrame,2,0,光环动力舰船工业,"special, no_drop, no_drop_salvage",,,,TRUE,TRUE,0,0,0,0,data.hullmods.ShieldMod.HSIShieldLinkFrame,为小型舰船设计的链接屏障架构。允许周围约 %s 范围内的携带此架构的友方舰船相互补充屏障，此速度为较低一方恢复速度的 %s。,,,graphics/icons/hullmods/HSI_ShieldLinkFrame.png
近卫第三舰队,HSI_GuardFleet3,2,0,,"special, no_drop, no_drop_salvage",,,,TRUE,,0,0,0,0,data.hullmods.HSIGuardFleet3,免受日冕造成的效果影响。超空间航速提高 %s 。,,,graphics/icons/hullmods/HSI_GuardFleet3.png
