name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield efficiency,shield upkeep,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#CAPITAL#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# no_bp_drop # no_drop # no_dealer # no_drop_salvage # no_sell # restricted,#影响市场刷新率,,,,,
Ephemeral,HSI_Life,Dreadnought,Halo Dynamics Ship Industry,HSI_OverDrive,50,30000,2100,25000,,1200,440,,25,20,25,10,12,5000,PHASE,HSI_LuminarFlow,,,,0,0,1500,3100,700,600,15,70,7,10000000,3,12,900,0.25,100,100,COMBAT,"no_autofit,no_bp_drop,no_drop,no_dealer,no_sell,restricted",,0.2,1,1,HSI_TravelJump,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukiyo,HSI_UkiyoA,Assault Dreadnought,Halo Dynamics Ship Industry,HSI_OverDrive,42,25000,1900,22000,,1200,400,,25,20,25,10,12,5000,PHASE,HSI_UplinkFireControl,,,,0,0,1500,3100,700,600,15,70,7,2000000,3,12,840,0.25,85,85,COMBAT,"no_autofit,no_dealer,no_sell,HSI_Ukiyo",0,0.2,1,1,HSI_TravelJump,
Ukiyo,HSI_UkiyoB,Carrier Dreadnought,Halo Dynamics Ship Industry,HSI_TimeShunt,42,24000,1600,16000,,900,360,5,35,25,25,10,12,5000,PHASE,HSI_DeckLoadStrike,,,,0,0,1500,3100,700,600,15,70,7,2000000,3,12,840,0.25,85,85,"CARRIER,COMBAT","no_autofit,no_dealer,no_sell,HSI_Ukiyo",0,0.2,1,1,HSI_TravelJump,
Ukiyo,HSI_UkiyoC,Heavy Dreadnought,Halo Dynamics Ship Industry,HSI_OverBurstDrive,42,33000,2100,18000,,700,360,,25,20,25,10,12,5000,PHASE,HSI_FinalFortress,,,,0,0,1500,3100,700,600,15,70,7,2000000,3,12,840,0.25,85,85,COMBAT,"no_autofit,no_dealer,no_sell,HSI_Ukiyo",0,0.2,1,1,HSI_TravelJump,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oath,HSI_Oath,Assault Battleship,Halo Dynamics Ship Industry,HSI_TimeWarp,30,17000,1700,14000,,700,315,1,20,20,18,8,10,4000,PHASE,HSI_LuminarFlow,,,,0.01,0,800,1500,700,500,15,60,7,500000,3,12,720,0.25,60,60,COMBAT,"HSI_bp,no_autofit",,0,1,1,HSI_TravelJump,
Moonwind,HSI_FengYue,Fleet Carrier,Halo Dynamics Ship Industry,HSI_TimeShunt,35,15000,1200,12000,,550,270,8,35,30,24,10,9,3500,PHASE,HSI_LuminarFlow,,,,0.01,0,400,1100,400,400,12,60,8,620000,3,12,480,0.25,65,65,"CARRIER,COMBAT","HSI_Elite_bp,no_autofit",,0.2,2,4,HSI_TravelJump,
Citadel,HSI_Citadel,Defensive Battleship,Halo Dynamics Ship Industry,HSI_DeployCitadel,29,11000,1200,10000,,400,180,,30,15,25,10,12,1000,PHASE,HSI_LuminarFlow,,,,0.01,0,600,1500,1000,550,10,60,7,400000,3,12,720,0.25,47,47,SHIP_WITH_MODULES,"HSI_Elite_bp,no_autofit",0.3,0,1,1,HSI_TravelJump,
Vision,HSI_Vision,Strike Battleship,Halo Dynamics Ship Industry,HSI_TorpedoFactory,33,22000,1750,10000,,400,330,,20,10,10,8,8,4000,PHASE,HSI_LuminarFlow,,,,0.01,0,800,1500,700,500,15,60,7,400000,3,12,720,0.25,60,60,"COMBAT,MISSILE_HARDPOINTS_ROTATE","HSI_bp,no_autofit",,0,1,1,HSI_TravelJump,
Monsoon,HSI_ShanYu,Time Cruiser,Halo Dynamics Ship Industry,HSI_UnstableTimeFlow,26,10000,1400,10000,,800,240,1,75,55,45,16,16,2400,PHASE,HSI_EmergencyBarrier,,,,0.01,0,400,600,700,500,10,60,8,320000,3,12,600,0.25,35,35,COMBAT,"HSI_bp,no_autofit",,0.6,2,3,HSI_TravelJump,
Riceplant,HSI_DaoHe,Superfreighter,Halo Dynamics Ship Industry,damper,7,7500,1200,6000,,200,65,,25,15,8,5,4,4000,PHASE,HSI_EmergencyBarrier,,,,0.01,0,100,250,1800,400,6,67,7,120000,3,20,600,0.25,12,12,"CIVILIAN, FREIGHTER","HSI_bp,no_autofit",,0.5,2,4,HSI_TravelJump,
Riceplant Mk.2,HSI_DaoHe2,Super Tanker,Halo Dynamics Ship Industry,damper,7,7500,1200,6000,,200,65,,25,15,8,5,4,4000,PHASE,HSI_EmergencyBarrier,,,,0.01,0,100,250,200,2700,6,125,7,120000,3,20,600,0.25,12,12,"CIVILIAN, TANKER","HSI_bp,no_autofit",,0.5,2,4,HSI_TravelJump,
Overlord,HSI_Conquest,Battlecruiser,Halo Dynamics Ship Industry,maneuveringjets,27,12000,1200,14000,,800,300,,45,20,15,8,6,2500,PHASE,HSI_EmergencyBarrier,,,,0.01,0,700,1300,450,500,15,60,7,450000,3,15,600,0.25,40,40,COMBAT,"HSI_bp,no_autofit",,0.2,2,4,HSI_TravelJump,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonless Rain,HSI_ShuoYeYu,Stealth Cruiser,Covert Ops,HSI_SpaceStorm,26,10000,1400,12000,,1250,240,1,75,55,45,16,16,2400,PHASE,HSI_DeepDive,,,,0,0.03,400,600,700,500,10,50,8,320000,3,12,600,0.25,35,35,"COMBAT, HIDE_IN_CODEX","no_autofit,no_bp_drop,no_drop,no_dealer,no_sell,restricted",,0.2,2,4,HSI_TravelJump,
Colorless Sea,HSI_WuSeHai,Stealth Battleship,Covert Ops,forgevats,42,20000,1900,16000,,1000,330,,25,15,10,8,8,4000,PHASE,HSI_DeepDive,,,,0,0.03,800,1500,700,500,15,60,7,600000,3,12,840,0.25,75,75,"COMBAT,MISSILE_HARDPOINTS_ROTATE, HIDE_IN_CODEX","no_autofit,no_bp_drop,no_drop,no_dealer,no_sell,restricted",,0,1,1,HSI_TravelJump,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#3rd Guards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oath (3G),HSI_Oath_GF3,Assault Battleship,3rd Guards,HSI_TimeWarp,30,17000,1700,14000,,700,325,1,25,20,18,8,10,4000,FRONT,,360,1.0,0.4,,,800,1500,700,500,15,60,7,1000000,3,12,780,0.25,60,60,COMBAT,"GF3_bp,no_dealer,no_sell,no_bp_drop",,0,1,1,HSI_TravelJump,
Moonwind (3G),HSI_FengYue_GF3,Fleet Carrier,3rd Guards,HSI_TimeShunt,35,15000,1200,12000,,550,300,8,30,30,24,10,9,3500,FRONT,,360,1.0,0.4,,,400,1100,400,400,12,60,8,1240000,3,12,600,0.25,65,65,"CARRIER,COMBAT","GF3_bp,no_dealer,no_sell,no_bp_drop",,0.2,2,4,HSI_TravelJump,
Promise (3G),HSI_Promise_GF3,Assault Cruiser,3rd Guards,HSI_TimeWarp,18,9000,1400,8800,,600,240,1,30,25,20,12,12,2000,FRONT,,360,1.0,0.4,,,200,350,150,150,5,30,7,175000,4,12,540,0.25,30,30,COMBAT,"GF3_bp,no_dealer,no_sell,no_bp_drop",,0.1,2,3,HSI_TravelJump,
Chrysaetos (3G),HSI_Eagle_GF3,Cruiser,3rd Guards,maneuveringjets,16,7500,1200,6500,,700,180,,60,40,30,15,20,1200,FRONT,,360,1.0,0.4,,,150,250,150,100,3,33,8,100000,3,12,480,0.25,20,20,,"GF3_bp,no_dealer,no_sell,no_bp_drop",,0.1,1,4,HSI_TravelJump,
Northwind (3G),HSI_Xianfeng_GF3,Aviation Cruiser,3rd Guards,HSI_TimeShunt,16,7500,950,5500,,350,180,3,45,35,25,16,10,2000,FRONT,,360,1.0,0.4,,,200,350,150,150,5,30,7,125000,4,12,480,0.25,26,26,"CARRIER,COMBAT","GF3_bp,no_dealer,no_sell,no_bp_drop",,0.1,1,4,HSI_TravelJump,
Morningstar (3G),HSI_Qiming_GF3,Escort Carrier,3rd Guards,HSI_TimeShunt,12,4500,500,4000,,210,100,1,75,60,45,25,20,400,FRONT,,360,1.0,0.4,,,60,120,250,70,2,35,9,36000,4,15,360,0.25,13,13,"CARRIER,COMBAT","GF3_bp,no_dealer,no_sell,no_bp_drop",,0.4,2,3,HSI_TravelJump,
Weaver (3G),HSI_Weaver_GF3,Strike Destroyer,3rd Guards,HSI_TorpedoFactory,11,6000,800,4000,,240,120,,65,45,55,30,25,500,FRONT,,360,1.0,0.4,,,60,100,90,90,3,30,9,38000,5,15,300,0.25,16,16,"COMBAT,MISSILE_HARDPOINTS_ROTATE","GF3_bp,no_dealer,no_sell,no_bp_drop",,0.4,2,3,HSI_TravelJump,
Mist (3G),HSI_YunYan_GF3,Heavy Frigate,3rd Guards,HSI_SpaceStorm,6,3000,500,2250,,200,68,,105,120,100,60,90,150,FRONT,,360,1.0,0.4,,,20,40,40,25,1,15,10,11000,10,20,180,0.25,8,8,,"GF3_bp,no_dealer,no_sell,no_bp_drop",,0.7,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Crusier#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Promise,HSI_Promise,Assault Cruiser,Halo Dynamics Ship Industry,HSI_TimeWarp,18,9000,1400,8800,,600,215,1,35,25,20,12,12,2000,PHASE,HSI_LuminarFlow,,,,0.01,0,200,350,150,150,5,30,7,175000,4,12,540,0.25,30,30,COMBAT,"HSI_bp,no_autofit",,0.1,2,3,HSI_TravelJump,
Twilight,HSI_Spade,Raid Cruiser,Halo Dynamics Ship Industry,HSI_Phaseteleporter,13,6000,800,6000,,450,140,,75,55,35,15,12,1350,PHASE,HSI_FortifiedShield,,,,0.02,0.03,150,225,100,100,5,30,8,70000,4,10,480,0.25,22,22,COMBAT,"HSI_bp,no_autofit",,0.1,2,3,HSI_TravelJump,
Northwind,HSI_Xianfeng,Aviation Cruiser,Halo Dynamics Ship Industry,HSI_TimeShunt,16,7500,950,5500,,350,155,3,45,35,25,16,10,2000,PHASE,HSI_EmergencyBarrier,,,,0.01,0,200,350,150,150,5,30,7,125000,4,12,480,0.25,26,26,"CARRIER,COMBAT","HSI_bp,no_autofit",,0.1,1,4,HSI_TravelJump,
Chrysaetos,HSI_Eagle,Cruiser,Halo Dynamics Ship Industry,maneuveringjets,16,7500,1200,6500,,700,155,,60,40,30,15,20,1200,PHASE,HSI_EmergencyBarrier,,,,0.01,0,150,250,150,100,3,33,8,100000,3,12,480,0.25,20,20,COMBAT,"HSI_bp,no_autofit",,0.1,1,4,HSI_TravelJump,
Planet,HSI_Aurora,Cruiser,Halo Dynamics Ship Industry,plasmajets,18,8000,1000,7500,,750,165,,80,50,25,25,25,1800,PHASE,HSI_FortifiedShield,,,,0.02,0.03,75,200,150,90,3,30,8,200000,4,20,420,0.25,32,32,COMBAT,"HSI_bp,no_autofit",,0.1,1,4,HSI_TravelJump,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Destroyer#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamplight,HSI_DengHuo,Freighter,Halo Dynamics Ship Industry,HSI_HMGTurretDeploy,2,3000,500,4000,,250,55,1,60,45,55,20,25,600,PHASE,HSI_EmergencyBarrier,,,,0.01,0,120,300,200,150,2,15,8,27000,6,15,240,0.25,5,5,"CARRIER,CIVILIAN,FREIGHTER","HSI_bp,no_autofit",,0.8,2,3,,
Papercut,HSI_ZhiYuan,Fast Destroyer,Halo Dynamics Ship Industry,HSI_Phaseteleporter,9,4000,550,5000,,450,80,,105,80,60,45,30,350,PHASE,HSI_FortifiedShield,,,,0.02,0.03,120,180,50,70,3,15,8,30000,6,15,300,0.25,9,9,,"HSI_bp,no_autofit",,0.8,2,3,HSI_TravelJump,
Elegy,HSI_Elegy,Support Destroyer,Halo Dynamics Ship Industry,HSI_ElegySystem,12,2500,450,4400,,400,60,,110,85,65,35,20,400,PHASE,HSI_SubSpaceWalker,,,,0.04,0.04,90,150,80,60,3,15,8,72000,6,20,300,0.25,13,13,PHASE,"HSI_bp,no_autofit",,0.8,2,3,HSI_TravelJump,
Weaver,HSI_Weaver,Strike Destroyer,Halo Dynamics Ship Industry,HSI_TorpedoFactory,11,6000,800,4000,,240,110,,65,45,55,30,25,500,PHASE,HSI_EmergencyBarrier,,,,0.01,0,60,100,90,90,3,30,9,38000,5,15,300,0.25,15,15,"COMBAT,MISSILE_HARDPOINTS_ROTATE","HSI_bp,no_autofit",,0.4,2,3,HSI_TravelJump,
Morningstar,HSI_Qiming,Escort Carrier,Halo Dynamics Ship Industry,HSI_TimeShunt,12,4500,500,4000,,210,90,1,75,60,45,25,20,400,PHASE,HSI_EmergencyBarrier,,,,0.02,0.03,60,120,250,70,2,35,9,36000,4,15,360,0.25,13,13,"CARRIER,COMBAT","HSI_bp,no_autofit",,0.4,2,3,HSI_TravelJump,
Peregrine,HSI_Sunder,Destroyer,Halo Dynamics Ship Industry,highenergyfocus,10,4000,500,6000,,475,105,,90,80,60,30,30,350,PHASE,HSI_FortifiedShield,,,,0.02,0.03,50,70,80,50,2,25,9,45000,5,15,300,0.25,14,14,,"HSI_bp,no_autofit",,0.4,2,3,HSI_TravelJump,
Coldrain,HSI_Medusa,Destroyer,Halo Dynamics Ship Industry,displacer,12,3000,400,4600,,400,115,,100,90,60,40,100,300,PHASE,HSI_EmergencyBarrier,,,,0.02,0.03,35,50,50,40,2,20,9,60000,5,20,300,0.25,12,12,,"HSI_bp,no_autofit",,0.4,2,3,HSI_TravelJump,
Strix,HSI_Shrike,Light Destroyer,Halo Dynamics Ship Industry,plasmajets,9,2800,400,4400,,400,100,,100,100,80,35,80,250,PHASE,HSI_EmergencyBarrier,,,,0.02,0.03,20,40,40,60,2,30,10,20000,5,15,300,0.25,8,8,,"HSI_bp,no_autofit",,0.8,2,3,HSI_TravelJump,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Frigate#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mist,HSI_YunYan,Heavy Frigate,Halo Dynamics Ship Industry,HSI_SpaceStorm,6,3000,500,2250,,200,60,,105,120,100,60,90,150,PHASE,HSI_LuminarFlow,,,,0.02,0.03,20,40,40,25,1,15,10,11000,10,20,180,0.25,6,6,,"HSI_bp,no_autofit",,0.7,1,2,,
Comet,HSI_Comet,Auxiliary Frigate,Halo Dynamics Ship Industry,HSI_SiegeMode,3,1500,300,3500,,250,40,,90,80,70,100,100,125,PHASE,HSI_EmergencyBarrier,,,,0.02,0.03,30,60,25,15,1,15,9,6000,10,20,240,0.25,5,5,,"HSI_bp,no_autofit",,0.5,1,2,,
Skylight,HSI_TianGuang,Temporal Assault Ship,Halo Dynamics Ship Industry,HSI_UnstableTimeFlow,7,1750,300,4000,,600,65,,145,120,100,60,90,150,PHASE,HSI_EmergencyBarrier,,,,0.02,0.03,20,40,40,25,1,15,10,19000,10,20,180,0.25,15,15,,"HSI_Elite_bp,no_autofit",,0.7,1,2,,
Mallet,HSI_Wolf,Frigate,Halo Dynamics Ship Industry,maneuveringjets,5,2000,300,2000,,100,40,,90,160,120,60,120,250,PHASE,HSI_EmergencyBarrier,,,,0.02,0.03,15,30,40,20,1,20,9,4500,8,10,300,0.25,4,4,,"HSI_bp,no_autofit",,0.7,1,2,,
Longwind,HSI_Scarab,Heavy Frigate,Halo Dynamics Ship Industry,temporalshell,8,2000,300,2000,,200,55,,130,120,100,60,120,300,PHASE,HSI_EmergencyBarrier,,,,0.02,0.03,35,45,40,20,1,20,10,17000,7,20,180,0.25,8,8,,"HSI_Elite_bp,no_autofit",,0.5,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apostle,HSI_Apostle,Experimental Mecha,Halo Dynamics Ship Industry,HSI_UnstableTimeFlow,15,2000,550,8000,,425,60,,165,120,100,60,120,300,OMNI,,150,0.8,0.4,,,1,2,10,10,1,1,10,17000,7,20,240,0.25,32,32,HIDE_IN_CODEX,"restricted,no_sell,no_bp_drop",,0.5,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Wings#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thor,HSI_Thor,Bomber,Halo Dynamics Ship Industry,HSI_ThorFury,2,700,150,450,,50,0,,125,120,80,75,75,70,FRONT,,180,1,0,,,3,3,0,0,0,0,12,4000,,,,,0,0,,,,,,,,
Maid,HSI_Maid,Support Drone,Halo Dynamics Ship Industry,,0,200,10,200,,20,0,,300,250,75,75,75,70,FRONT,,360,1,0,,,0,0,0,0,0,0,12,4000,,,,,0,0,,,,,,,,
