name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield efficiency,shield upkeep,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#CAPITAL#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# no_bp_drop # no_drop # no_dealer # no_drop_salvage # no_sell # restricted,#影响市场刷新率,,,,,
浮生,HSI_Life,无畏舰,光环动力舰船工业,HSI_OverDrive,50,30000,2100,25000,,1200,440,,25,20,25,10,12,5000,PHASE,HSI_LuminarFlow,,,,0,0,1500,3100,700,600,15,70,7,10000000,3,12,900,0.25,100,100,COMBAT,"no_autofit,no_bp_drop,no_drop,no_dealer,no_sell,restricted",,0.2,1,1,HSI_TravelJump,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浮世,HSI_UkiyoA,强袭无畏舰,光环动力舰船工业,HSI_OverDrive,42,25000,1900,22000,,1200,400,,25,20,25,10,12,5000,PHASE,HSI_UplinkFireControl,,,,0,0,1500,3100,700,600,15,70,7,2000000,3,12,840,0.25,85,85,COMBAT,"no_autofit,no_dealer,no_sell,HSI_Ukiyo",0,0.2,1,1,HSI_TravelJump,
浮世,HSI_UkiyoB,航空无畏舰,光环动力舰船工业,HSI_TimeShunt,42,24000,1600,16000,,900,360,5,35,25,25,10,12,5000,PHASE,HSI_DeckLoadStrike,,,,0,0,1500,3100,700,600,15,70,7,2000000,3,12,840,0.25,85,85,"CARRIER,COMBAT","no_autofit,no_dealer,no_sell,HSI_Ukiyo",0,0.2,1,1,HSI_TravelJump,
浮世,HSI_UkiyoC,重装无畏舰,光环动力舰船工业,HSI_OverBurstDrive,42,33000,2100,18000,,700,360,,25,20,25,10,12,5000,PHASE,HSI_FinalFortress,,,,0,0,1500,3100,700,600,15,70,7,2000000,3,12,840,0.25,85,85,COMBAT,"no_autofit,no_dealer,no_sell,HSI_Ukiyo",0,0.2,1,1,HSI_TravelJump,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
誓约,HSI_Oath,突击战列舰,光环动力舰船工业,HSI_TimeWarp,30,17000,1700,14000,,700,315,1,20,20,18,8,10,4000,PHASE,HSI_LuminarFlow,,,,0.01,0,800,1500,700,500,15,60,7,500000,3,12,720,0.25,60,60,COMBAT,"HSI_bp,no_autofit",,0,1,1,HSI_TravelJump,
风月,HSI_FengYue,舰队航母,光环动力舰船工业,HSI_TimeShunt,35,15000,1200,12000,,550,270,8,35,30,24,10,9,3500,PHASE,HSI_LuminarFlow,,,,0.01,0,400,1100,400,400,12,60,8,620000,3,12,480,0.25,65,65,"CARRIER,COMBAT","HSI_Elite_bp,no_autofit",,0.2,2,4,HSI_TravelJump,
城池,HSI_Citadel,防御战列舰,光环动力舰船工业,HSI_DeployCitadel,29,11000,1200,10000,,400,180,,30,15,25,10,12,1000,PHASE,HSI_LuminarFlow,,,,0.01,0,600,1500,1000,550,10,60,7,400000,3,12,720,0.25,47,47,SHIP_WITH_MODULES,"HSI_Elite_bp,no_autofit",0.3,0,1,1,HSI_TravelJump,
愿景,HSI_Vision,打击战列舰,光环动力舰船工业,HSI_TorpedoFactory,33,22000,1750,10000,,400,330,,20,10,10,8,8,4000,PHASE,HSI_LuminarFlow,,,,0.01,0,800,1500,700,500,15,60,7,400000,3,12,720,0.25,60,60,"COMBAT,MISSILE_HARDPOINTS_ROTATE","HSI_bp,no_autofit",,0,1,1,HSI_TravelJump,
山雨,HSI_ShanYu,时间巡洋舰,光环动力舰船工业,HSI_UnstableTimeFlow,26,10000,1400,10000,,800,240,1,75,55,45,16,16,2400,PHASE,HSI_EmergencyBarrier,,,,0.01,0,400,600,700,500,10,60,8,320000,3,12,600,0.25,35,35,COMBAT,"HSI_bp,no_autofit",,0.6,2,3,HSI_TravelJump,
稻禾,HSI_DaoHe,巨型运输舰,光环动力舰船工业,damper,7,7500,1200,6000,,200,65,,25,15,8,5,4,4000,PHASE,HSI_EmergencyBarrier,,,,0.01,0,100,250,1800,400,6,67,7,120000,3,20,600,0.25,12,12,"CIVILIAN, FREIGHTER","HSI_bp,no_autofit",,0.5,2,4,HSI_TravelJump,
稻禾Mk.2,HSI_DaoHe2,巨型燃料舰,光环动力舰船工业,damper,7,7500,1200,6000,,200,65,,25,15,8,5,4,4000,PHASE,HSI_EmergencyBarrier,,,,0.01,0,100,250,200,2700,6,125,7,120000,3,20,600,0.25,12,12,"CIVILIAN, TANKER","HSI_bp,no_autofit",,0.5,2,4,HSI_TravelJump,
暴君,HSI_Conquest,战列巡洋舰,光环动力舰船工业,maneuveringjets,27,12000,1200,14000,,800,300,,45,20,15,8,6,2500,PHASE,HSI_EmergencyBarrier,,,,0.01,0,700,1300,450,500,15,60,7,450000,3,15,600,0.25,40,40,COMBAT,"HSI_bp,no_autofit",,0.2,2,4,HSI_TravelJump,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朔夜雨,HSI_ShuoYeYu,隐形巡洋舰,隐秘行动处,HSI_SpaceStorm,26,10000,1400,12000,,1250,240,1,75,55,45,16,16,2400,PHASE,HSI_DeepDive,,,,0,0.03,400,600,700,500,10,50,8,320000,3,12,600,0.25,35,35,"COMBAT, HIDE_IN_CODEX","no_autofit,no_bp_drop,no_drop,no_dealer,no_sell,restricted",,0.2,2,4,HSI_TravelJump,
无色海,HSI_WuSeHai,隐形战列舰,隐秘行动处,forgevats,42,20000,1900,16000,,1000,330,,25,15,10,8,8,4000,PHASE,HSI_DeepDive,,,,0,0.03,800,1500,700,500,15,60,7,600000,3,12,840,0.25,75,75,"COMBAT,MISSILE_HARDPOINTS_ROTATE, HIDE_IN_CODEX","no_autofit,no_bp_drop,no_drop,no_dealer,no_sell,restricted",,0,1,1,HSI_TravelJump,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#近卫三,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
誓约(近卫三),HSI_Oath_GF3,突击战列舰,近卫第三舰队,HSI_TimeWarp,30,17000,1700,14000,,700,325,1,25,20,18,8,10,4000,FRONT,,360,1.0,0.4,,,800,1500,700,500,15,60,7,1000000,3,12,780,0.25,60,60,COMBAT,"GF3_bp,no_dealer,no_sell,no_bp_drop",,0,1,1,HSI_TravelJump,
风月(近卫三),HSI_FengYue_GF3,舰队航母,近卫第三舰队,HSI_TimeShunt,35,15000,1200,12000,,550,300,8,30,30,24,10,9,3500,FRONT,,360,1.0,0.4,,,400,1100,400,400,12,60,8,1240000,3,12,600,0.25,65,65,"CARRIER,COMBAT","GF3_bp,no_dealer,no_sell,no_bp_drop",,0.2,2,4,HSI_TravelJump,
诺言(近卫三),HSI_Promise_GF3,突击巡洋舰,近卫第三舰队,HSI_TimeWarp,18,9000,1400,8800,,600,240,1,30,25,20,12,12,2000,FRONT,,360,1.0,0.4,,,200,350,150,150,5,30,7,175000,4,12,540,0.25,30,30,COMBAT,"GF3_bp,no_dealer,no_sell,no_bp_drop",,0.1,2,3,HSI_TravelJump,
金雕(近卫三),HSI_Eagle_GF3,巡洋舰,近卫第三舰队,maneuveringjets,16,7500,1200,6500,,700,180,,60,40,30,15,20,1200,FRONT,,360,1.0,0.4,,,150,250,150,100,3,33,8,100000,3,12,480,0.25,20,20,,"GF3_bp,no_dealer,no_sell,no_bp_drop",,0.1,1,4,HSI_TravelJump,
朔风(近卫三),HSI_Xianfeng_GF3,巡洋航母,近卫第三舰队,HSI_TimeShunt,16,7500,950,5500,,350,180,3,45,35,25,16,10,2000,FRONT,,360,1.0,0.4,,,200,350,150,150,5,30,7,125000,4,12,480,0.25,26,26,"CARRIER,COMBAT","GF3_bp,no_dealer,no_sell,no_bp_drop",,0.1,1,4,HSI_TravelJump,
启明(近卫三),HSI_Qiming_GF3,护航航母,近卫第三舰队,HSI_TimeShunt,12,4500,500,4000,,210,100,1,75,60,45,25,20,400,FRONT,,360,1.0,0.4,,,60,120,250,70,2,35,9,36000,4,15,360,0.25,13,13,"CARRIER,COMBAT","GF3_bp,no_dealer,no_sell,no_bp_drop",,0.4,2,3,HSI_TravelJump,
织缕(近卫三),HSI_Weaver_GF3,打击驱逐舰,近卫第三舰队,HSI_TorpedoFactory,11,6000,800,4000,,240,120,,65,45,55,30,25,500,FRONT,,360,1.0,0.4,,,60,100,90,90,3,30,9,38000,5,15,300,0.25,16,16,"COMBAT,MISSILE_HARDPOINTS_ROTATE","GF3_bp,no_dealer,no_sell,no_bp_drop",,0.4,2,3,HSI_TravelJump,
云烟(近卫三),HSI_YunYan_GF3,重型护卫舰,近卫第三舰队,HSI_SpaceStorm,6,3000,500,2250,,200,68,,105,120,100,60,90,150,FRONT,,360,1.0,0.4,,,20,40,40,25,1,15,10,11000,10,20,180,0.25,8,8,,"GF3_bp,no_dealer,no_sell,no_bp_drop",,0.7,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
