name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
时间回溯,HSI_TimeShift,,,,100,,,,,,0,1.5,0.3,8,,,,,,TRUE,TRUE,TRUE,,TRUE,,,graphics/icons/hullsys/temporal_shell.png
亚空行者,HSI_SubSpaceWalker,,,,,,,,,,0.6,,0.3,3,TRUE,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,graphics/icons/hullsys/phase_cloak.png
固化屏障,HSI_FortifiedShield,,,0.025,,,,,,,1.5,,1.5,2,TRUE,,TRUE,TRUE,TRUE,,,,,TRUE,,,graphics/icons/hullsys/fortress_shield.png
部署机枪炮塔,HSI_HMGTurretDeploy,,,,,,,,3,0.0333,0.25,,0.25,,,,,,,,,,,TRUE,,,graphics/icons/hullsys/interdictor_array.png
电弧空雷突袭,ArcMineStrike,,,,,,0.1,,5,0.05,0.25,,0.25,,,,,,,,,,,TRUE,,,graphics/icons/hullsys/interdictor_array.png
部署城堡,HSI_DeployCitadel,,,,5000,,,,,,2.5,,2,10,,,,,,,,,,TRUE,,,graphics/icons/hullsys/drone_pd_high.png
鱼雷工厂,HSI_TorpedoFactory,,,,,,0.35,,2,0.075,1.6,0,0.4,2,,,,,,,,,,TRUE,,,graphics/icons/hullsys/missile_autoforge.png
时空跃迁,HSI_TimeWarp,,,,,,0.1,,3,0.07,1,,1,2.5,,,,,TRUE,,,,,TRUE,,,graphics/icons/hullsys/displacer.png
战术折跃,HSI_TacTeleporter,,,,,,0.15,,2,0.03,1.2,0.3,0.5,25,,,,,,,TRUE,TRUE,,TRUE,,,graphics/icons/hullsys/displacer.png
人理之锤,HSI_HOH,,,,,,0.01,,3,0.18,,,,3,,,,,,,,,TRUE,TRUE,,,graphics/icons/hullsys/high_energy_focus.png
攻城模式,HSI_SiegeMode,,0.25,,,,,,,,2.5,,2.5,5,TRUE,,,,,,,,TRUE,TRUE,,,graphics/icons/hullsys/high_energy_focus.png
哀悼,HSI_Burial,,,,,,0.05,,,,1.5,,1.5,16,,,,,TRUE,,,,TRUE,TRUE,,restricted,graphics/icons/hullsys/displacer.png
