id,type,text1,text2,text3,text4,notes
#Weapons#,,,,,,
HWI_TurbocannonL,WEAPON,"This energy weapon charges its turbine upon firing, increasing its rate of fire. It boasts extremely long range and is therefore typically used to project suppressive fire.

The turbo cannon was developed from a type of alien rapid-fire weapon. Despite various efforts by the Arms Industry, they have been unable to increase its power through scaling up its projectiles, and this remains the sole limiting factor on the weapon's terrifying potential. However, Arms Industry has successfully designed a compatible weapon slot tailored for turbo weapons, which further stabilizes their projectiles and effectively increases their range.

",,,,
HWI_TurbocannonM,WEAPON,"This energy weapon charges its turbine upon firing, increasing its rate of fire. It boasts extremely long range and is therefore typically used to project suppressive fire.

The turbo cannon was developed from a type of alien rapid-fire weapon. Despite various efforts by the Arms Industry, they have been unable to increase its power through scaling up its projectiles, and this remains the sole limiting factor on the weapon's terrifying potential. However, Arms Industry has successfully designed a compatible weapon slot tailored for turbo weapons, which further stabilizes their projectiles and effectively increases their range.

",,,,
HWI_TurbocannonS,WEAPON,"This energy weapon charges its turbine upon firing, increasing its rate of fire. It boasts extremely long range and is therefore typically used to project suppressive fire.

The turbo cannon was developed from a type of alien rapid-fire weapon. Despite various efforts by the Arms Industry, they have been unable to increase its power through scaling up its projectiles, and this remains the sole limiting factor on the weapon's terrifying potential. However, Arms Industry has successfully designed a compatible weapon slot tailored for turbo weapons, which further stabilizes their projectiles and effectively increases their range.

",,,,
HWI_TurbocannonSPD,WEAPON,"Although it also employs turbine technology, this cheap defensive weapon does not incorporate a complex compression structure, causing its energy projectiles to rapidly destabilize.It is typically used for its extremely high rate of fire as a cheap option to support primary defensive weapons.",,,,
HWI_MassDriverL,WEAPON,"A heavy launcher that uses inertialess mass acceleration technology to fire a wide variety of payloads to meet a variety of needs. It offers suitable responses for almost any tactical scenario, though it is far from perfect. It is a widely used ballistic weapon in Halo Dynamics fleets.",,,,
HWI_MassDriverM,WEAPON,"A medium launcher that uses inertialess mass acceleration technology to fire a wide variety of payloads to meet a variety of needs. It offers suitable responses for almost any tactical scenario, though it is far from perfect. It is a widely used ballistic weapon in Halo Dynamics fleets.",,,,
HWI_MassDriverS,WEAPON,"A light launcher that uses inertialess mass acceleration technology to fire a wide variety of payloads to meet a variety of needs. It offers suitable responses for almost any tactical scenario, though it is far from perfect. It is a widely used ballistic weapon in Halo Dynamics fleets.",,,,
HWI_Arbiter,WEAPON,"The Arbiter heavy artillery is equipped with an advanced fire control system that reduces correction time after firing. This weapon was developed to combat heavily armored targets and compensate for the relatively poor damage of High Explosive mass drivers.",,,,
HWI_Duality,WEAPON,"The Duality combined flak-and-missile point defense system is based on an older design. While flak cannons are generally sufficient for most threats, they fall short against heavy fighters. Integrating anti-fighter missiles extends the Duality's defensive reach, but its high maintenance demands limit widespread deployment.",,,,
HWI_POS_Pod,WEAPON,This weapon uses unknown principles to generate energy clusters that display a measure of intelligence. These clusters orbit the point of emission comes within range.,"- ""At least they're obedient, aren't they?""",,,
HWI_Stella,WEAPON,"The Starstream-DEM is a special variant of the standard DEM. Utilizing Halo Dynamics' technology, a highly dense material source is compressed into the warhead. This disperses into a debris stream upon impact, causing damage. While these fragments pose little threat to conventional armor, they generate massive interference and are capable of disabling various systems.",,,,
HWI_Stella_Fighter,WEAPON,"The Starstream-DEM is a special variant of the standard DEM. Utilizing Halo Dynamics' technology, a highly dense material source is compressed into the warhead. This disperses into a debris stream upon impact, causing damage. While these fragments pose little threat to conventional armor, they generate massive interference and are capable of disabling various systems.",,,,
HWI_Astesia,WEAPON,"The Starstream-DEM is a special variant of the standard DEM. Utilizing Halo Dynamics' technology, a highly dense material source is compressed into the warhead. This disperses into a debris stream upon impact, causing damage. While these fragments pose little threat to conventional armor, they generate massive interference and are capable of disabling various systems.",,,,
HWI_AntiAromr,WEAPON,"The Resonator emits a jet that interferes with the resonance frequency of armor, reducing its effectiveness. Due to the limited energy of the jet, it is more difficult to prevent targets regaining their original frequency the larger they are, though the impact on armor performance is largely unaffected.",,,,
HWI_Disruptor,WEAPON,"The Disruptor deploys a type of nanomachine that attacks energy circuits. Since it avoids attacking core components, the attack is difficult for automated repair systems to immediately detect. The Department of Science and Technology has written complex control programs that cause these machines to prioritize command channels, resulting in loss of control over shields and tactical systems for the target.",,,,
HWI_Wingman,WEAPON,"A product of the ""Autonomous Threat Interception Program"", this air defense system departs from the previous model based on conventional strikes, and instead uses shield drones that automatically identify and intercept threats. These drones can intercept not only conventional missiles, but also beams and projectiles — at the cost of being expensive to produce and maintain.",,,,
HWI_FirstMantitude,WEAPON,"A device that emits a focused stream of matter with unknown technology. Technical officers have no understanding of how it works, but what is certain is this: the device converts energy into matter, concentrates it at the end of the jet, then compresses, ignites, burns, and detonates it within an extremely short time and in a manner that defies known physics. The process exhibits stellar characteristics and remains remarkably consistent across all tests. The only problem is that the amount of matter involved should be nowhere near enough to produce these effects. The operations chief who observed the entire test thought it was akin to magic.","- ""I plan to give you a star. A star like no other.""",,,
HWI_ConquerorCannon,WEAPON,"The heavy turbo cannon built into the Promise-class and Oath-class is directly connected to their reactors, channeling a portion of flux energy into the plasma projectile, enhancing its power while also assisting both classes of ships in dissipating flux.",,,,
HWI_Counter,WEAPON,"A heavy point defense weapon that fires highly compressed plasma, the Counter is designed to defend against heavy fighters and dense missile waves. It can instantly clear wide swaths of hostiles. The plasma's frequency is pre-tuned at launch, ensuring it detonates at the intended moment, assuming that there is no interference.",,,,
HWI_HammerOfHumanity,WEAPON,"This giant reactor-linked cannon built into the spine of the Twilight class is capable of delivering devastating strikes to any target. Originally designed for use against large, immobile targets, the Twilight-class was envisioned as a fast siege ship. However, with the commissioning of the Starstream-class, the Twilight-class was redesigned as a maneuverable siege cruiser, and the Department of Science and Technology also succeeded in developing a kind of guidance system for the Hammer of Humanity.",,,,
HWI_Apocalypse,WEAPON,"A fast firing warship grade autocannon. While adequate for suppressing and destroying most targets in ground combat situations where the Apocalypse-class is typically deployed, it is not very effective on armored targets.",,,,
HSI_Apocalypse_LA,WEAPON,"Throws a common canister cannon shell as a grenade. This cheap and reliable explosive requires only minimal components and is highly effective in situations where explosive firepower is needed.",,,,
HWI_Bury,WEAPON,"An anti-air weapon designed for small vehicles. Efficient, precise, and extremely compact, but its limited firepower restricts its effectiveness on larger platforms.",,,,
HWI_Phenomenon,WEAPON,"A specially designed directional arc cloud projector. It launches an unstable arc cloud that continuously disrupts nearby enemies. The Papercut-class's internal circuitry is built to absorb the dispersed energy, enhancing its overall performance.",,,,
HWI_FocusLance,WEAPON,"An unusual focusing design that synchronizes with enemy shield frequencies during continuous firing, allowing it to bypass part of their protection and rip through any defenses with terrifying power. The Department of War has high praise for the weapon's effectiveness — a rare endorsement for a Department of Science and Technology design. Many believe its prototype was derived from the infamous Dragonfire DEM, though the Department of Science and Technology has never made a statement on this.",,,,
HWI_FlakTF,WEAPON,"Based on the widely Flak Cannon, this weapon has undergone minor modifications to accommodate fire high-powered munitions. However, to maintain the cost-effectiveness of the weapon, its ammunition is designed for timed detonation, avoiding the need for a more complex ammunition forge.",,,,
HWI_Fireworks_S,WEAPON,"A fast, light torpedo that provides reliable long-range firepower to a wide range of Halo Dynamics torpedo ships. The Firework boasts excellent range, speed, and ammo capacity, at the cost of a modest increase in space requirements..",,,,
HWI_Fireworks_M,WEAPON,"A fast, light torpedo that provides reliable long-range firepower to a wide range of Halo Dynamics torpedo ships. The Firework boasts excellent range, speed, and ammo capacity, at the cost of a modest increase in space requirements..",,,,
HWI_Fireworks_L,WEAPON,"A fast, light torpedo that provides reliable long-range firepower to a wide range of Halo Dynamics torpedo ships. The Firework boasts excellent range, speed, and ammo capacity, at the cost of a modest increase in space requirements..",,,,
HSI_DancingButterFly,WEAPON,[REDACTED],,,,
HWI_Crosswind,WEAPON,"Although ship designers argued that missiles launchers should deliver bursts of damage to quickly destroy enemies, a significant number of captains maintained that what they truly needed was a missile system capable of sustained close-range suppression — not a rapidly depleted rocket pod like the Annihilator. To meet this need, the Crosswind, equipped with an advanced targeting system, was developed. Once locked on, the Crosswind can maintain pressure on a target over extended engagements.",,,,
HWI_IonLance,WEAPON,"A miniaturized version of the Tachyon Lance. Although not particularly powerful, the high amount of disruption it causes on hit has made it a favorite among captains of smaller vessels.",,,,
HWI_IonLanceM,WEAPON,"A miniaturized version of the Tachyon Lance. Although not particularly powerful, the high amount of disruption it causes on hit has made it a favorite among captains of smaller vessels.",,,,
HWI_mjolnir,WEAPON,"A medium range cannon that delivers superior damage over time and also has a significant EMP payload.",,,,
HWI_lightneedler,WEAPON,"Fires bursts of small flechettes at a high rate of fire. Despite its small size, it can quickly overwhelm most shield projectors, but is generally ineffective against armor. Modifications by the Weapons Industry give it additional effects.",,,,
