id,type,text1,text2,text3,text4,notes
#武器#,,,,,,
HWI_TurbocannonL,WEAPON,"这种能量武器在发射时会为涡轮充能，提高开火速度。具备极长的射程，因而通常作为投射压制火力的武器使用。

涡轮炮发展自某种外星速射武器。尽管武器工业尝试了多种方法，仍无法使大型化的射弹威力进一步提高。这成为了制约这种武器恐怖威力的唯一因素。但武器工业成功设计了一种为涡轮武器特殊设计的兼容武器槽位，能使射弹进一步稳定，达到提高射程的效果。

",,,,
HWI_TurbocannonM,WEAPON,"这种能量武器在发射时会为涡轮充能，提高开火速度。具备极长的射程，因而通常作为投射压制火力的武器使用。

涡轮炮发展自某种外星速射武器。尽管武器工业尝试了多种方法，仍无法使大型化的射弹威力进一步提高。这成为了制约这种武器恐怖威力的唯一因素。但武器工业成功设计了一种为涡轮武器特殊设计的兼容武器槽位，能使射弹进一步稳定，达到提高射程的效果。

",,,,
HWI_TurbocannonS,WEAPON,"这种能量武器在发射时会为涡轮充能，提高开火速度。具备极长的射程，因而通常作为投射压制火力的武器使用。

涡轮炮发展自某种外星速射武器。尽管武器工业尝试了多种方法，仍无法使大型化的射弹威力进一步提高。这成为了制约这种武器恐怖威力的唯一因素。但武器工业成功设计了一种为涡轮武器特殊设计的兼容武器槽位，能使射弹进一步稳定，达到提高射程的效果。

",,,,
HWI_TurbocannonSPD,WEAPON,虽然也采用了涡轮技术，但这种廉价的防御武器并未涉及复杂的压缩结构，其能量弹体会迅速失稳。通常利用其极高的射速，作为协助主要防御武器的廉价选项。,,,,
HWI_MassDriverL,WEAPON,使用无惯性质量加速技术的重型弹射器，能发射多种通用载荷以应对各种需求。对几乎任何战术环境都能提供适当的处理，但远称不上完美。广泛作为光环动力舰队的实弹武器装备。,,,,
HWI_MassDriverM,WEAPON,使用无惯性质量加速技术的中型弹射器，能发射多种通用载荷以应对各种需求。对几乎任何战术环境都能提供适当的处理，但远称不上完美。广泛作为光环动力舰队的实弹武器装备。,,,,
HWI_MassDriverS,WEAPON,使用无惯性质量加速技术的轻型弹射器，能发射多种通用载荷以应对各种需求。对几乎任何战术环境都能提供适当的处理，但远称不上完美。广泛作为光环动力舰队的实弹武器装备。,,,,
HWI_Arbiter,WEAPON,仲裁者-重型火炮系统搭载了先进火控系统，能降低开火后校正的时间。这种武器为满足与重装甲目标战斗的需求而开发，以弥补质量驱动器高爆载荷较为贫瘠的伤害。,,,,
HWI_Duality,WEAPON,二象性-弹炮一体防空系统是一种较为古老的设计。尽管大部分情况下，高射炮被认为已经足以处理各种防空需求，在面对重型战机时仍然稍显不足。二象性搭载的防空导弹延长了其防御范围，但较高的维护需求限制了其大规模列装。,,,,
HWI_POS_Pod,WEAPON,能生成不明原理但具备一定智能表现的能量团簇。能量团簇会环绕发射源直到附近出现不受保护的目标。,"- ""至少它们很听话，不是吗？""",,,
HWI_Stella,WEAPON,星流-DEM是基于DEM做出的特殊改型。光环动力的技术能将高度压缩的物质源压缩到弹头中，在目标周围启发碎屑流，对目标造成伤害。这种碎屑物质无法威胁到常规装甲，但能在撞击时产生大量干扰以瘫痪目标的各类系统。,,,,
HWI_Stella_Fighter,WEAPON,星流-DEM是基于DEM做出的特殊改型。光环动力的技术能将高度压缩的物质源压缩到弹头中，在目标周围启发碎屑流，对目标造成伤害。这种碎屑物质无法威胁到常规装甲，但能在撞击时产生大量干扰以瘫痪目标的各类系统。,,,,
HWI_Astesia,WEAPON,星流-DEM是基于DEM做出的特殊改型。光环动力的技术能将高度压缩的物质源压缩到弹头中，在目标周围启发碎屑流，对目标造成伤害。这种碎屑物质无法威胁到常规装甲，但能在撞击时产生大量干扰以瘫痪目标的各类系统。,,,,
HWI_AntiAromr,WEAPON,共振矩阵发射一束干扰装甲共振频率的射流，使装甲的性能下降。由于射流能量有限，对越大型的目标越难以阻止频率恢复，但对于装甲性能的改变受到的影响不大。,,,,
HWI_Disruptor,WEAPON,干扰矩阵携带一种针对能量回路攻击的纳米机械，由于不攻击核心部件，很难被自动修复设施第一时间识别。科学技术部编写了复杂的控制程序，使这些机械会优先攻击对方的指挥通路，导致目标无法控制护盾和战术系统。,,,,
HWI_Wingman,WEAPON,"""先进防空计划""的产物。这种防空系统一反以往基于常规打击的防御模式，转而使用自动甄别威胁的护盾无人机进行防御。这些防空设备不仅能拦截常规的导弹，还能拦截光束和射弹——代价则是昂贵的成本和维护费用。",,,,
HWI_FirstMantitude,WEAPON,以未知技术发射聚焦物质流的装置。技术军官们对它的原理毫无头绪。可确认的是：这座装置能将能量转化为物质，集中到射流末端，在极短的时间内以不符合已知物理学的方式压缩、点火、燃烧、爆发，具备显著的恒星特征而且在每次测试中都高度一致，唯一的问题是这些物质的质量无论如何都不足以产生这些过程。行动长官旁观了整个测试过程，她觉得这是魔法。,"- ""我打算送您一颗星星。一颗独一无二的星星。""",,,
HWI_ConquerorCannon,WEAPON,内置于诺言-级和誓约-级的重型涡轮炮，直连反应堆以疏导部分幅能进入等离子弹体，加强威力的同时辅助这两型舰船的耗散能力。,,,,
HWI_Counter,WEAPON,发射高度压缩等离子体的重型防空武器，反击为防御重型目标和密集导弹波次而生，能瞬间扫平大范围的敌对目标。等离子体在发射时就已进行了预调频，如果不受干扰的话，它们总能在预期的时间后爆炸。,,,,
HWI_HammerOfHumanity,WEAPON,这门直连反应堆的巨型火炮内置于未明-级的轴线上，能对任何目标造成毁灭性打击。其最初被设计用于对抗难以移动的巨型目标，未明-级则作为一种高速攻城炮舰使用。随着游星-级的投入使用，未明-级的设计目的也被调整为高速机动的攻城巡洋舰，科学技术部也成功为人理之锤设计了某种制导能力。,,,,
HWI_Apocalypse,WEAPON,高射速的战舰级机炮。对天启-级通常使用的地面战场合足够压制和摧毁大部分目标，对大型目标效果不佳。,,,,
HSI_Apocalypse_LA,WEAPON,投掷一枚常见的罐式加农炮弹药作为手雷。这种廉价可靠的爆炸物只需要很小的机构就能制造，在需要爆炸物火力的环境极其有效。,,,,
HWI_Bury,WEAPON,一门为小型载具提供的防空武器。高效，精密，体积极小。但较弱的威力限制了它在更大型载体上的发挥。,,,,
HWI_Phenomenon,WEAPON,经过特殊设计的定向电弧云发射器。能发射一团不稳定的电弧云，不断对附近的敌对目标造成巨大干扰。并能被纸鸢-级的内置回路吸收逸散的能量，提高纸鸢-级的性能。,,,,
HWI_FocusLance,WEAPON,一种奇怪的聚焦设计，持续照射时能同步对方护盾频率而无视部分防护效果，并以骇人的功率输出撕裂任何防护措施。战争部高度肯定了这种武器的优秀——这对科学技术部的武器来说非常少见。很多人认为这种武器的原型来自于臭名昭著的龙炎DEM，科学技术部从未对此发表声明。,,,,
HWI_FlakTF,WEAPON,基于广为使用的高射炮改造而来，经过少量改造武器系统，使其获得了发射大威力弹药的能力。但为了维持高射炮廉价的优势，这种武器生产的弹药只能定时引爆以避免进一步扩展弹药锻炉。,,,,
HWI_Fireworks_S,WEAPON,一款高速轻型鱼雷，为光环动力广泛列装的雷击舰提供了可靠的长程火力。这款鱼雷拥有优异的射程、速度和载弹量，代价是稍大的空间占用。,,,,
HWI_Fireworks_M,WEAPON,一款高速轻型鱼雷，为光环动力广泛列装的雷击舰提供了可靠的长程火力。这款鱼雷拥有优异的射程、速度和载弹量，代价是稍大的空间占用。,,,,
HWI_Fireworks_L,WEAPON,一款高速轻型鱼雷，为光环动力广泛列装的雷击舰提供了可靠的长程火力。这款鱼雷拥有优异的射程、速度和载弹量，代价是稍大的空间占用。,,,,
HSI_DancingButterFly,WEAPON,[拒绝访问],,,,
HWI_Crosswind,WEAPON,尽管舰船设计师们据理力争，认为导弹槽位应当执行爆发式火力打击以迅速摧毁目标，相当大部分的舰长们仍然认为自己需要一门可以执行持续近距离压制的导弹武器——而不是歼灭者这种迅速打空的火箭巢。配置了先进锁定系统的横风应运而生。这种飞弹舱一经锁定便可在极大的范围里保持对目标的压制。,,,,
HWI_IonLance,WEAPON,一种小型化速子长矛的设计。尽管火力并不出众，命中时造成的高额干扰仍然使其成为了众多小型舰船指挥官的最爱。,,,,
HWI_IonLanceM,WEAPON,一种小型化速子长矛的设计。尽管火力并不出众，命中时造成的高额干扰仍然使其成为了众多小型舰船指挥官的最爱。,,,,
HWI_mjolnir,WEAPON,能持续产生可观伤害，且具备杰出 EMP 破坏力的中程加农炮。,,,,
HWI_lightneedler,WEAPON,能以爆发性速度发射大量小型箭弹。体积虽小，却能在单次开火下迅速击溃绝大多数护盾系统，但对装甲却难以起效。经过武器工业的特殊改装，使其能发挥额外的战术效果。,,,,
HWI_heavyneedler,WEAPON,装在加重底座上的联装轻型针刺。以迅速击溃护盾而被人们所熟知。经过武器工业的特殊改装，使其能发挥额外的战术效果。,,,,
HWI_irautolance,WEAPON,能进行短时爆发的廉价轻型光束。由于其光束不够凝聚，无法对抗常规的舰船装甲。经过武器工业的特殊改装，使其能发挥额外的战术效果。,,,,
HWI_guardian,WEAPON,能进行短时爆发的定向防御系统。由于其光束不够凝聚，无法对抗常规的舰船装甲。经过武器工业的特殊改装，使其能发挥额外的战术效果。,,,,
HWI_autopulse,WEAPON,能进行短时爆发的大型能量武器。经过武器工业的特殊改装，使其能发挥额外的战术效果。,,,,
HWI_Ragnarok,WEAPON,一种威力巨大但是使用极其受限的大型能量武器。其恐怖的威力来源于受到高度保护的弹药架内预装填的反物质弹药。由于这种弹药几乎无法在战斗中妥善装填，设计师取消了弹药补充系统，以更大的弹药架来提供一定的续航。有限的弹药和极其有限的射程使得这种武器通常安装于某些携带了大型槽位的小型舰船上。,,,,
HWI_Fireworks_Fighter,WEAPON,一款高速轻型鱼雷，为光环动力广泛列装的雷击舰提供了可靠的长程火力。这款鱼雷拥有优异的射程、速度和载弹量，代价是稍大的空间占用。,,,,
HWI_Standard,WEAPON,与二象性上使用的完全一致，这种敏捷的防空导弹能拦截各种小型目标。,,,,
HSI_Apocalypse_RA,WEAPON,用于摧毁沿途障碍的束能枪刃，能切开各类加固金属结构或是工事。,,,,
HWI_plasma,WEAPON,这种巨大而神秘的武器大概是星域中最具破坏力的持续伤害制造者。前提是安装该武器的战舰能处理它所产生的巨额幅能。,,,,
