name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#HWI#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重型涡轮炮,HWI_TurbocannonL,2,,8000,1000,,100,,15,11,25,,,,ENERGY,110,,0,0.5,1,0,4,8,1,1,,1000,1000,,15,,,FIRE_WHEN_INEFFICIENT,"HSI_bp,energy16,HWI_Upd,LR",,光环动力武器工业,,压制,,,,,持续开火时最高提高 %s 射速。射速加成达到 %s 时命中造成 %s 。停止开火后经过一段时间射速提升效果消失。,100%|60%|范围伤害,,,,
中型涡轮炮,HWI_TurbocannonM,2,,3000,1000,,100,,15,17,12,,,,ENERGY,110,,0,1.33,1,0,4,8,1,1,,1000,1000,,15,,,FIRE_WHEN_INEFFICIENT,"HSI_bp,energy8,HWI_Upd,LR",,光环动力武器工业,,压制,,,,,持续开火时最高提高 %s 射速。射速加成达到 %s 时命中造成 %s 。停止开火后经过一段时间射速提升效果消失。,100%|60%|范围伤害,,,,
轻型涡轮炮,HWI_TurbocannonS,2,,1250,1000,,60,,15,25,6,,,,ENERGY,60,,0,1.33,1,0,4,8,1,1,,1000,1000,,15,,,FIRE_WHEN_INEFFICIENT,"HSI_bp,energy3,HWI_Upd,LR",,光环动力武器工业,,压制,,,,,持续开火时最高提高 %s 射速。射速加成达到 %s 时命中造成 %s 。停止开火后经过一段时间射速提升效果消失。,100%|60%|范围伤害,,,,
轻型PD涡轮炮,HWI_TurbocannonSPD,2,,250,400,,10,,4,115,2,,,,FRAGMENTATION,1,,0,0.1,1,0,4,8,1,1,,800,800,,15,,,PD,"HSI_bp,energy1,pd1",,光环动力武器工业,,点防御,,,,,持续开火时最高提高 %s 射速。射速加成达到 %s 时命中造成 %s 。停止开火后经过一段时间射速提升效果消失。,100%|60%|范围伤害,,,,
重型质量驱动器,HWI_MassDriverL,1,,1250,900,,200,,50,10,22,,,,HIGH_EXPLOSIVE,160,,0,0.8,1,,0,10,1,5,,750,,,15,,,PD,"HSI_bp,kinetic15,he14,HWI_Upd",,光环动力武器工业,,通用,,,,,使用不同弹药攻击目标。使用近炸弹药时，对战机的触发范围大于对导弹的触发范围，开火幅能降低 %s 。,50%,"针对装甲使用 %s 弹药，针对护盾使用 %s 弹药，针对小型目标使用伤害提高 %s 的 %s 弹药。
[权限不足]",高爆|动能|50%|近炸破片,,
中型质量驱动器,HWI_MassDriverM,1,,750,800,,100,,32,16,12,,,,HIGH_EXPLOSIVE,80,,0,0.66,1,,0,4,4,4,,750,,,15,,,PD,"HSI_bp,kinetic8,he7,HWI_Upd",,光环动力武器工业,,通用,,,,,使用不同弹药攻击目标。使用近炸弹药时，对战机的触发范围大于对导弹的触发范围，开火幅能降低 %s 。,50%,"针对装甲使用 %s 弹药，针对护盾使用 %s 弹药，针对小型目标使用伤害提高 %s 的 %s 弹药。
[权限不足]",高爆|动能|50%|近炸破片,,
轻型质量驱动器,HWI_MassDriverS,1,,450,700,,100,,11,25,6,,,,HIGH_EXPLOSIVE,80,,0,1,1,,0,4,4,4,,750,,,15,,,PD,"HSI_bp,kinetic3,he2,HWI_Upd",,光环动力武器工业,,通用,,,,,使用不同弹药攻击目标。使用近炸弹药时，对战机的触发范围大于对导弹的触发范围，开火幅能降低 %s 。,50%,"针对装甲使用 %s 弹药，针对护盾使用 %s 弹药，针对小型目标使用伤害提高 %s 的 %s 弹药。
[权限不足]",高爆|动能|50%|近炸破片,,
仲裁者-重型火炮系统,HWI_Arbiter,1,,9500,900,,600,,70,12,20,,,,HIGH_EXPLOSIVE,600,,1,2.5,2,1,4,6,4,2,,750,800,,1000,,,,"HSI_bp,he19",,光环动力武器工业,,反装甲,,,,,射击前使用火控照射目标。如果火控成功照射目标，缩短 %s 本次开火冷却。,20%|追踪,,,,
凛冬炮,,2,,3250,500,,2000,,500,30,16,40,,,ENERGY,2500,,0.5,9.5,1,0,0,5,1,10,,1200,1200,,75,,,"FIRE_WHEN_INEFFICIENT,STRIKE, USE_VS_FRIGATES","energy10,HSI_Elite_bp",,光环动力武器工业,,打击,,,,,,,,,,
